SKU|Make|Model|Year|Submodel|ourBodyTypeName|_BodyNumDoors_|Universal SKU|SKU_Naumkin|Required SKU|Optional SKU|Available|Available1|ourMake|Fitment_note|ourRealModel|_MfrBodyCodeName_|ourModel|Available2|Processing|Brand|_BodyTypeName_|Part#1|NumDoor|Length_b|MMY
T0683QC-6-TXR|Toyota|Tacoma|2012|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2013|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0683QC-6-TXR|Toyota|Tacoma|2014|||||T0683QC-6-TXR|||||Toyota||||||True|RBP®|Extended Cab Pickup|T0683QC-6-TXR||6' Bed|
T0690CC-6-TXR|Toyota|Tacoma|2005|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2006|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2007|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2008|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2009|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2010|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2011|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2012|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0690CC-6-TXR|Toyota|Tacoma|2013|||||T0690CC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0690CC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2007|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2008|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2009|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2010|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2011|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2012|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0792QC-6-TXR|Toyota|Tundra|2013|||||T0792QC-6-TXR|||||Toyota||||||True|RBP®|Crew Cab Pickup|T0792QC-6-TXR||6'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2007|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2008|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2009|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2010|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2011|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2012|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2013|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
T0798CC-6-TXR|Toyota|Tundra|2014|||||T0798CC-6-TXR|||||Toyota||||||True|RBP®|Extended Crew Cab Pickup|T0798CC-6-TXR||5'6" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2007|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
C0789CC-RW3|Chevrolet|Silverado 1500|2008|||||C0789CC-RW3|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-RW3||5'8" Bed|
