SKU|CORE DEPOSIT|CF SHIPPING|SBOX|Available|BRANDNAME|PACKAGE|SHIPPINGTYPE|Templates|forname1|forname2|Core|Valid|Price|Height|Length|Width|Weight|UPC|DATA SOURCE|IN STOCK|MainProduct|VENDORID
117.44050|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|16.96|2.00|9.00|6.00|0.20|805890071662|||M|
117.44051|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|9.32|2.00|9.00|6.00|0.20|805890074533|||M|
117.44068|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|8.86|2.00|9.00|6.00|0.50|805890157021|||M|
117.44073|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|7.68|2.00|9.00|6.00|0.50|805890138389|||M|
117.44079|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|8.86|2.00|9.00|6.00|0.40|805890202714|||M|
117.44080|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|14.35|2.00|9.00|6.00|0.25|805890202721|||M|
117.44076|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|17.25|2.00|9.00|6.00|0.30|805890195801|||M|
117.44084|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|11.65|2.00|9.00|6.00|0.30|805890349495|||M|
150.44411|||||Centric®|||Centric Brake Hose||Brake Hose||False|17.70|1.50|7.00|6.00|0.30|805890230632|||M|
150.44412|||||Centric®|||Centric Brake Hose||Brake Hose||True|17.70|1.50|7.00|6.00|0.30|805890230922|||M|
142.44605|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|55|True|73.25|5.38|9.38|7.25|4.80|805890274216|||M|
142.44606|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|55|True|73.25|5.38|9.38|7.25|4.80|805890274506|||M|
141.44605|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|55|True|45.42|5.38|9.38|7.25|8.00|805890610113|||M|
141.44606|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|55|True|45.42|5.38|9.38|7.25|8.00|805890610403|||M|
143.44067|||||Centric®|||Centric Caliper Friction Repair Kit||Caliper Friction Repair Kit|||5.32|2.00|4.00|9.00|0.10|805890222132|||M|
117.44088|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|23.16|2.00|9.00|6.00|0.30|805890385585|||M|
146.32007|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||16.47|2.00|4.00|9.00|1.40|805890420972|||M|
142.44096|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|20|True|48.84|5.38|9.38|7.25|11.00|805890503507|||M|
142.44095|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|20|True|48.84|5.38|9.38|7.25|11.00|805890503217|||M|
146.43001|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||25.13|4.00|13.00|10.00|6.00||||M|
117.44019|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||False|13.77|2.00|9.00|6.00|0.20|805890100072|||M|
141.44096|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|20|True|36.67|5.38|9.38|7.25|11.00|805890117216|||M|
141.44095|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|20|True|36.67|5.38|9.38|7.25|11.00|805890117209|||M|
150.44355|||||Centric®|||Centric Brake Hose||Brake Hose||False|25.13|1.50|7.00|6.00|0.50|805890081692|||M|
141.44059|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|35|True|39.04|5.38|9.38|7.25|8.00|805890116844|||M|
141.44060|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|35|False|39.04|5.38|9.38|7.25|8.00|805890116851|||M|
150.44340|||||Centric®|||Centric Brake Hose||Brake Hose||False|14.76|1.50|7.00|6.00|0.30|805890081586|||M|
142.44059|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|35|True|57.16|5.38|9.38|7.25|9.30|805890462507|||M|
142.44060|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|35|False|57.16|5.38|9.38|7.25|9.50|805890463207|||M|
150.44332|||||Centric®|||Centric Brake Hose||Brake Hose||True|9.04|1.50|7.00|6.00|0.30|805890081531|||M|
141.44535|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|20|True|68.31|5.38|9.38|7.25|8.00|805890118381|||M|
141.44536|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|20|True|68.31|5.38|9.38|7.25|8.00|805890118398|||M|
117.44042|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|18.04|2.00|9.00|6.00|0.20|805890100287|||M|
146.32001|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||28.09|4.00|13.00|10.00|6.00||||M|
141.44097|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|38.4|True|35.12|5.38|9.38|7.25|10.00|805890117223|||M|
141.44098|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|38.4|True|35.12|5.38|9.38|7.25|10.00|805890117230|||M|
141.44099|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|15|True|36.67|5.38|9.38|7.25|11.00|805890117247|||M|
141.44197|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|35|True|38.60|5.38|9.38|7.25|9.00|805890318958|||M|
141.44198|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|35|True|38.60|5.38|9.38|7.25|9.00|805890318965|||M|
141.44100|||||Centric®|||Centric Semi Loaded Brake Caliper||Semi Loaded Brake Caliper|15|False|36.67|5.38|9.38|7.25|11.00|805890117254|||M|
150.44356|||||Centric®|||Centric Brake Hose||Brake Hose||False|16.47|1.50|7.00|6.00|0.60|805890081708|||M|
146.57034|||||Centric®|||Centric Steel Aluminum Caliper Piston|Steel Aluminum|Caliper Piston|||16.95|4.00|13.00|10.00|6.00||||M|
142.44097|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper||True|53.68|5.38|9.38|7.25|10.00|805890504207|||M|
142.44098|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper||True|53.68|5.38|9.38|7.25|10.00|805890510147|||M|
142.44099|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|True|57.61|5.38|9.38|7.25|11.00|805890510437|||M|
142.44100|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|False|57.61|5.38|9.38|7.25|11.00|805890510727|||M|
142.44197|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|35|True|63.92|5.38|9.38|7.25|9.00|805890621027|||M|
